"event_id,transaction_id,user_id,card_id,merchant_id,merchant_category,mcc,amount,currency,channel,txn_ts,last_txn_ts,distance_km_from_last,time_diff_min,velocity_km_per_min,device_id,device_trust_score,ip_country,merchant_risk_score,base_anomaly_score,model_score,rule_triggered,label,intervention_required,user_response,response_time_sec"
"E4_E08AE881761F,T000116448,U004505,C0006968,M00688,Grocery,5411,1499.84,INR,POS,2026-02-15 12:58:25,2026-02-10 12:10:56,33.08417268782635,7247.483333333334,0.00456491876782419,D45078213,0.21416882029377288,AE,0.10498895714159512,0.45303419170627446,0.4050171373694176,,normal,0,NA,0"
"E4_34394C58B73C,T000105698,U001739,C0002714,M00432,Dining,5812,1326.51,INR,POS,2026-03-30 12:05:00,2026-03-23 19:08:13,1144.2773939212475,9656.783333333333,0.11849467409830197,D25905671,0.8089746523086239,IN,0.28909712459989023,0.2557769010631567,0.22228953833812795,,normal,0,NA,0"
"E4_59800E5AF5AA,T000040673,U003484,C0005400,M00438,Travel,4511,34494.97,INR,POS,2026-03-11 21:27:51,2026-03-01 19:54:16,1143.8660819844263,14493.583333333334,0.07892224135860763,D53058777,0.47839190553641975,GB,0.31727534597869894,0.6743387789305093,0.43794323658761614,,normal,0,NA,0"
"E4_8C817B2EB90F,T000071370,U003292,C0005126,M00158,Fashion,5651,4029.41,INR,POS,2026-02-10 19:58:04,2026-02-10 00:31:15,11.208335501000557,1166.8166666666666,0.009605909669614384,D59445993,0.780309675562523,GB,0.19195113019810525,0.45294298240705294,0.2356256244722911,,normal,0,NA,0"
"E4_5988827086CD,T000065996,U003071,C0004795,M00704,ATM,6011,174.67,GBP,POS,2026-02-03 13:00:31,2026-02-01 12:56:26,7183.444340203367,2884.0833333333335,2.490720104089699,D93448783,0.5433046440082856,IN,0.41924682094611837,0.46530592980009017,0.3928956566309779,,normal,0,NA,0"
"E4_D0795492597D,T000119867,U001863,C0002905,M00366,Pharmacy,5912,1379.86,INR,QR,2026-03-29 15:19:22,2026-03-28 11:47:36,6712.587880470825,1651.7666666666667,4.0638838499006065,D95118045,0.8015121140295361,IN,0.07341562838612364,0.29724511699768913,0.18618905157092247,,normal,0,NA,0"
"E4_878C7D905109,T000005011,U001744,C0002720,M00582,Grocery,5411,38.85,GBP,POS,2026-02-28 19:31:44,2026-02-28 11:19:35,6715.345914746847,492.15,13.644917026814685,D50697356,0.2021892191313871,GB,0.10232483218383535,0.10001075736539443,0.37380987101714624,,normal,0,NA,0"
"E4_DC9FEB35636D,T000035388,U003159,C0004933,M00562,Dining,5812,53.59,INR,POS,2026-03-30 23:40:56,2026-03-26 06:10:33,8055.824027485501,6810.383333333333,1.1828738021333358,D97603743,0.6513177424759857,IN,0.23530712681153343,0.36825947417587707,0.28682832869053443,,normal,0,NA,0"
"E4_80A87BE2E45F,T000094614,U003269,C0005093,M00696,Electronics,5732,25797.88,INR,POS,2026-02-11 19:17:48,2026-02-02 22:37:23,1725.0921295023757,12760.416666666666,0.13519089341406373,D29395800,1.0,IN,0.32108549843737066,0.2752039815696758,0.2068137389277718,,normal,0,NA,0"
"E4_46B1778F5617,T000078186,U003721,C0005767,M00513,Fashion,5651,4951.18,INR,POS,2026-02-03 19:52:09,2026-01-19 18:24:25,26.259916499057972,21687.733333333334,0.0012108188576211117,D75210268,0.6498115466758165,GB,0.3838893404801166,0.3433496435220809,0.36900561303299756,,normal,0,NA,0"
"E4_D6A9BD7D7CD0,T000114451,U001440,C0002240,M00517,Entertainment,7832,1140.22,INR,POS,2026-02-27 08:37:18,2026-02-24 19:18:49,41.10327108479025,3678.483333333333,0.011173972357662874,D73019730,0.5484530547089013,SG,0.2583687335102443,0.4912709321019169,0.3814704479499706,,normal,0,NA,0"
"E4_6253A84E4944,T000114396,U004330,C0006695,M00716,Entertainment,7832,6756.05,INR,POS,2026-03-08 19:54:30,2026-02-27 16:13:43,110.2952191794724,13180.783333333333,0.00836788045066662,D37648451,1.0,GB,0.11613652824986792,0.47458713636803235,0.2045524997660177,,normal,0,NA,0"
"E4_B4185575277C,T000105498,U001892,C0002949,M00766,Electronics,5732,45497.34,INR,QR,2026-01-10 14:26:28,2026-01-04 17:00:52,261.98002334233837,8485.6,0.030873482528323084,D21839651,0.5842463582770978,IN,0.43945882036598555,0.6180196655651747,0.4084785521735148,,normal,0,NA,0"
"E4_88EB4B1C9479,T000038496,U004724,C0007308,M00465,Pharmacy,5912,950.89,INR,POS,2026-02-05 19:56:53,2026-02-05 06:03:26,1717.1277278180476,833.45,2.060264836304574,D88507557,0.8457265435728047,AE,0.0,0.42717255240040874,0.2259332163380382,,normal,0,NA,0"
"E4_8357693F93FA,T000071770,U003130,C0004882,M00026,Pharmacy,5912,13155.28,INR,QR,2026-01-02 19:59:43,2026-01-02 17:18:43,6825.519230853199,161.0,42.39452938418136,D57209063,0.8091970078577659,US,0.04193831803370389,0.4598113279769769,0.527990177077906,,normal,0,NA,0"
